,label,gini_c,a_c,m_20,n_centroids,reg_ratio,percentile,intensity_r
53,1.0,0.7650874165309064,0.16187412826514044,-3.379567832231033,1.0,0.0,0.95,0.0
54,1.0,0.8015733001785237,0.13045570738694398,-4.188574144415247,2.0,1.0,0.95,0.9903721808990049
55,1.0,0.7307393124417844,0.13696593600060397,-3.876205335006825,1.0,0.0,0.95,0.0
56,1.0,0.8424890669785766,0.11486169350472789,-3.8036420448578867,1.0,0.0,0.95,0.0
57,2.0,0.7227307127329035,0.29039192227205507,-3.744629669503285,2.0,0.5,0.8273547094188377,0.44020619072538947
58,3.0,0.6939521983026882,0.26203018827145996,-2.121766360637265,3.0,1.0,0.4900801603206413,0.19761567745198624
59,2.0,0.5846226102615906,0.2255975207049313,-2.11704163513729,2.0,0.16666666666666666,0.5462925851703407,0.11420208959161543
60,1.0,0.8032138234175953,0.09037805927616284,-3.654276992218826,2.0,1.0,0.95,0.9691956344808111
61,1.0,0.7563217194873904,0.1438691650071706,-5.039989916294681,1.0,0.0,0.95,0.0
62,1.0,0.7740156153031877,0.09686991218886724,-4.705259464718978,1.0,0.0,0.95,0.0
63,1.0,0.7264165606471708,0.08171517748909568,-4.361627717119915,2.0,0.5,0.8443887775551102,0.4570927041391281
64,2.0,0.6092172085700868,0.24459540220151688,-2.2302242573568734,2.0,0.5,0.568436873747495,0.3314507937329954
65,2.0,0.7239829031659858,0.35961464316700775,-2.4129994883400854,3.0,1.0,0.5990981963927856,0.3343516961218554
66,3.0,0.7062918680590554,0.17626409993550873,-3.6571719179291007,2.0,0.037037037037037035,0.6655310621242485,0.030174511531436243
67,1.0,0.7555407084212332,0.05183700138290731,-3.9437384583860373,1.0,0.0,0.95,0.0
68,3.0,0.6940744196704356,0.34809950141300633,-2.005467033450101,4.0,1.0,0.29248496993987977,0.03305059082292114
69,2.0,0.6447039305704454,0.36121967388460396,-2.418776912325646,2.0,0.1,0.7489979959919839,0.08340746730453649
70,3.0,0.7038562778204254,0.28775523411600934,-2.1888547935608007,4.0,1.0,0.29248496993987977,0.01424688779254012
71,1.0,0.7402866306705187,0.1101974803594889,-3.419002186983165,1.0,0.0,0.95,0.0
72,3.0,0.6434280954406099,0.3194042941484577,-2.2004562696214807,3.0,1.0,0.11362725450901805,0.012018332940401876
73,1.0,0.9222973178294046,0.15626057819585215,-3.7618461580676,1.0,0.0,0.95,0.0
74,3.0,0.6698930112586117,0.29926968090516737,-2.277514791783335,2.0,0.08333333333333333,0.30951903807615233,0.048365156619389796
75,1.0,0.880629896380407,0.19610723667315294,-4.284077649978881,1.0,0.0,0.95,0.0
76,2.0,0.7224056402464747,0.2711994683216663,-2.7943558617250246,3.0,1.0,0.38446893787575154,0.09590683958506421
77,3.0,0.6268249439504282,0.33036032273980803,-2.756073642807696,5.0,1.0,0.15791583166332665,0.004304656203736375
78,3.0,0.7757957388334802,0.22746748463450453,-3.8529633194985506,3.0,1.0,0.3163326653306613,0.028165062823801233
79,2.0,0.8200108745931206,0.3346451280317926,-3.569293311310476,3.0,1.0,0.17835671342685372,0.009151063834466743
80,3.0,0.6990997381639548,0.3750025296495456,-2.2341415354101466,4.0,1.0,0.7013026052104209,0.12019998098786301
81,3.0,0.6892375449410093,0.262617675835457,-2.7526762671927725,2.0,1.0,0.9210420841683367,0.9216914059250672
82,1.0,0.7237617310806354,0.2260837022090315,-4.232691887463198,1.0,0.0,0.95,0.0
83,1.0,0.8785228793466268,0.2139157177120848,-5.446470920255542,1.0,0.0,0.95,0.0
84,1.0,0.8500540759624707,0.24017018383342778,-3.837424630821775,1.0,0.0,0.95,0.0
85,1.0,0.7579652896015876,0.1087169220113493,-4.812305827303019,1.0,0.0,0.95,0.0
86,1.0,0.907485187882086,0.1333533913372762,-4.17716551089487,2.0,1.0,0.943186372745491,0.9442689769967822
87,1.0,0.7557032030801832,0.15273386284527404,-4.20654846550292,1.0,0.0,0.95,0.0
88,2.0,0.6736739555599799,0.2652462748009237,-2.5832107285892194,3.0,1.0,0.95,0.48354920427191067
89,1.0,0.7754263708273053,0.09147993018203414,-4.027230686858253,2.0,1.0,0.9414829659318638,0.94181499069339
90,2.0,0.78905975394128,0.1425675543996856,-4.584338439766958,1.0,0.0,0.95,0.0
91,2.0,0.7160634493226201,0.20101583869282622,-4.009511558070166,1.0,0.0,0.95,0.0
92,2.0,0.7138051718703136,0.3331441889296829,-2.210955341283242,2.0,1.0,0.9312625250501002,0.9326689061520316
93,2.0,0.6603355696657756,0.24865135746319766,-2.6891928049968885,3.0,1.0,0.5803607214428858,0.07196637700073773
94,2.0,0.561430042377289,0.23231547961139193,-2.1516131373746408,2.0,0.2,0.6893787575150301,0.17030578621584475
95,3.0,0.7174994710548688,0.28109110219909395,-3.0476145385784057,2.0,0.058823529411764705,0.5122244488977956,0.04232365877712907
96,1.0,0.7538839373214299,0.1957547004659268,-4.851501410909602,1.0,0.0,0.95,0.0
97,1.0,0.7785470918658416,0.13295387407429565,-4.9033245396667215,1.0,0.0,0.95,0.0
98,1.0,0.7714531206536066,0.15478585169483414,-4.2273500550013825,1.0,0.0,0.95,0.0
99,2.0,0.6899642183927578,0.20655516853583492,-3.9081203117339043,2.0,0.3333333333333333,0.9329659318637274,0.31580006676341044
100,1.0,0.7288030425725405,0.14496672109074332,-4.214838031299334,1.0,0.0,0.95,0.0
101,3.0,0.6350716617326597,0.14547775193496812,-2.1256740712941675,3.0,1.0,0.5565130260521042,0.1508441344350215
102,1.0,0.794123605888839,0.19444033572099043,-3.9301746519027296,2.0,0.3333333333333333,0.5377755511022044,0.22626258830962762
103,1.0,0.7304702552795426,0.1497511126713661,-3.706504386953213,2.0,1.0,0.95,0.9992792065614244
104,1.0,0.8972197212583608,0.15022255132295617,-3.977181335721572,2.0,0.3333333333333333,0.9380761523046092,0.3183055284356774
105,1.0,0.7408999216543025,0.17582240102117178,-4.823852086342324,1.0,0.0,0.95,0.0
106,2.0,0.8166742891902572,0.2268120742948188,-2.480761201263974,2.0,0.5,0.7166332665330661,0.4115462257235198
107,2.0,0.6504066025897087,0.26406877703368203,-2.9735236040841158,3.0,1.0,0.22434869739478958,0.013314846378919882
108,3.0,0.6274811524596783,0.18602549980228378,-3.583509378685755,2.0,0.25,0.8273547094188377,0.21946023511428323
109,1.0,0.8298789270400514,0.22077625693153544,-3.7665708202510393,2.0,0.3333333333333333,0.5633266533066132,0.22614021392606043
110,1.0,0.738504255658162,0.1051685842759261,-3.3769877091782696,1.0,0.0,0.95,0.0
111,1.0,0.7107591272446557,0.13114197174019873,-4.2089692451516925,1.0,0.0,0.95,0.0
112,1.0,0.7706902072270347,0.14975850601961388,-3.149167137574875,3.0,1.0,0.9074148296593186,0.48225123625039196
113,3.0,0.614890275415996,0.2744317925250036,-2.789907345724406,3.0,1.0,0.783066132264529,0.4218926447650006
114,3.0,0.6276781564428301,0.2931046802368643,-2.2872388556207337,4.0,1.0,0.474749498997996,0.13152333354152418
115,1.0,0.8760524027534909,0.14044317312089927,-4.629028035193176,1.0,0.0,0.95,0.0
116,2.0,0.8083219210190844,0.12635400164990368,-4.687650247906665,1.0,0.0,0.95,0.0
117,1.0,0.7814600711684347,0.08147037923360703,-3.7718909667728298,2.0,0.2,0.8937875751503006,0.18715677641170636
118,3.0,0.6774614566411163,0.3277264034486851,-3.0347136152008773,3.0,1.0,0.4951903807615231,0.07292828227922199
119,3.0,0.6965669840555673,0.3323219972952801,-2.3650407068514636,3.0,1.0,0.6621242484969939,0.12844382587131564
120,1.0,0.8476028589901325,0.05570919895640195,-4.402866589087508,1.0,0.0,0.95,0.0
121,1.0,0.8717213090039242,0.16355954872012907,-4.263749789674449,1.0,0.0,0.95,0.0
122,1.0,0.7559182615032152,0.17034583656879215,-3.2524675535973855,2.0,0.3333333333333333,0.7472945891783567,0.27172841454957747
123,3.0,0.6461597083613031,0.3234059437213306,-2.266026730600605,3.0,1.0,0.6178356713426854,0.3159184978533294
124,1.0,0.7235854316922012,0.1285913699498501,-3.539672967607166,2.0,0.5,0.8937875751503006,0.4664387656109402
125,1.0,0.6888384179860491,0.09616286790538485,-4.677396488476214,2.0,1.0,0.8171342685370742,0.8173234775657102
126,1.0,0.8873629793334045,0.18618451651494716,-3.7731945116648014,1.0,0.0,0.95,0.0
127,1.0,0.8673592999532871,0.10508990742359113,-3.913084608066187,1.0,0.0,0.95,0.0
128,1.0,0.6748135611998021,0.14313615738586788,-4.622825591789875,1.0,0.0,0.95,0.0
129,2.0,0.733251135119713,0.3194145094387424,-3.3829863038426398,3.0,1.0,0.742184368737475,0.20272450832335673
130,3.0,0.65609880580082,0.3188002508124837,-2.1387822944823007,3.0,1.0,0.46452905811623246,0.11768390890526934
131,1.0,0.7322270365348158,0.14154332675519052,-4.209005456672897,2.0,0.011904761904761904,0.13236472945891783,0.0054930820468314144
132,3.0,0.628012930896903,0.24309487662808796,-2.3991159283939067,5.0,1.0,0.7626252505010019,0.28071387339023773
133,3.0,0.8103345268079001,0.33249192933932625,-2.9039142744506043,2.0,0.3333333333333333,0.8103206412825651,0.2785961477203135
134,2.0,0.6440962582644895,0.12154032511793739,-2.2292591109321274,3.0,1.0,0.6859719438877755,0.1884461131773459
135,1.0,0.7022354200910114,0.15416508808118748,-4.226627184233567,1.0,0.0,0.95,0.0
136,1.0,0.8587146232399967,0.12841949792093876,-3.5348169788927333,2.0,0.5,0.8869739478957915,0.4501431822434296
137,2.0,0.6796079164822952,0.25267212351805507,-2.2287499769252865,2.0,0.25,0.8494989979959919,0.23175203897823773
138,1.0,0.7951022258057628,0.10451860701409703,-4.024078601438358,1.0,0.0,0.95,0.0
139,1.0,0.78850295137471,0.1429196603978241,-4.494620022353302,2.0,0.5,0.7626252505010019,0.4166191321322553
140,1.0,0.6904153465302103,0.08898430630077005,-4.383394227979972,1.0,0.0,0.95,0.0
141,1.0,0.8313790648835548,0.15710322705989058,-4.525475920477997,1.0,0.0,0.95,0.0
142,3.0,0.731645594126848,0.29297225909299107,-2.4376129546820566,2.0,0.5,0.6876753507014027,0.35456872030177483
143,3.0,0.7310608805987735,0.31190089275401206,-3.033934892697709,3.0,1.0,0.668937875751503,0.05824958151920492
144,2.0,0.6597578117763706,0.14411277442727147,-4.033083210620967,2.0,0.5,0.8307615230460922,0.453659151864828
145,3.0,0.6828893742051921,0.3469935919051523,-2.1630618400148465,2.0,0.5,0.561623246492986,0.3221536095569822
146,3.0,0.550314071175326,0.2293346113747457,-2.214036582387364,3.0,1.0,0.5088176352705411,0.04841666107560298
147,1.0,0.7293580817324857,0.11352131014539538,-3.680040018967759,2.0,1.0,0.95,0.9582529505227156
148,3.0,0.5508141076026004,0.23861598872669368,-2.3212384687365577,5.0,1.0,0.5701402805611222,0.15978997599074363
149,1.0,0.6850435765039694,0.13957622886736312,-4.8766645199750425,1.0,0.0,0.95,0.0
150,3.0,0.6584061220709817,0.3315537242372383,-2.1744156039289626,3.0,1.0,0.9329659318637274,0.9336416178308976
151,1.0,0.743851965977635,0.10805415327041662,-4.742068675279005,1.0,0.0,0.95,0.0
152,2.0,0.745475753952361,0.2331275312803879,-4.397112691886327,2.0,0.5,0.95,0.5082497528530338
153,1.0,0.909401676856865,0.17851464575203319,-4.523242187357682,1.0,0.0,0.95,0.0
154,1.0,0.8616449101255141,0.15766471453710607,-4.392517190756416,1.0,0.0,0.95,0.0
155,1.0,0.7248775055203921,0.09269104836803287,-4.6621364149224584,1.0,0.0,0.95,0.0
156,1.0,0.8531113436976716,0.11681440821672319,-5.058676847691616,2.0,1.0,0.7285571142284569,0.7290137122975558
157,1.0,0.8856718391464358,0.1256523828540611,-5.091416921574876,1.0,0.0,0.95,0.0
158,3.0,0.6631202532074814,0.22543797299944165,-2.9071945215015136,3.0,1.0,0.34188376753507016,0.03422010223351578
159,1.0,0.7211347480349498,0.11025318931092407,-4.336542403702364,1.0,0.0,0.95,0.0
160,3.0,0.6723651295764089,0.37757242659043355,-2.495436670913174,3.0,1.0,0.6229458917835671,0.6241565451823088
161,2.0,0.7333967376996953,0.28011474714246404,-3.3044698032290216,3.0,1.0,0.7609218436873747,0.7617075877416842
162,1.0,0.7284730712887326,0.1413895307403765,-3.7351593680363893,1.0,0.0,0.95,0.0
163,3.0,0.6493757959316877,0.2158789480004882,-3.220405024373535,2.0,0.5,0.7507014028056112,0.383763110839951
164,1.0,0.7860783545605678,0.08529256955491159,-4.235870776681294,3.0,1.0,0.8477955911823647,0.8482765136016176
165,2.0,0.7031081941251504,0.30812257186228087,-2.1013280884610155,2.0,0.1,0.6297595190380761,0.0818605727164507
166,3.0,0.6821382592489238,0.28482292688258665,-3.4296681450212323,2.0,0.04,0.27374749498997997,0.025049881031765732
167,1.0,0.8284624879806006,0.1561258876349625,-4.30664587375569,2.0,0.5,0.7524048096192385,0.409049679576425
168,3.0,0.6877208935833649,0.26285981557460153,-2.8917798478265264,3.0,1.0,0.8001002004008015,0.23063270837635222
169,1.0,0.69606194526083,0.08984405736541874,-4.349845526987009,2.0,1.0,0.8971943887775551,0.8972166144429711
170,3.0,0.7492516817095227,0.12576891480494531,-3.98693334563812,3.0,1.0,0.8937875751503006,0.47067056121923967
171,1.0,0.8382398681896629,0.09660296304477818,-4.401318682257275,1.0,0.0,0.95,0.0
172,1.0,0.7147174390902836,0.1423625064458482,-3.198173754043869,2.0,1.0,0.8920841683366734,0.8926032024985383
173,1.0,0.7977198420007942,0.08406968535841058,-3.7923655908458658,1.0,0.0,0.95,0.0
174,3.0,0.632062273016572,0.314363704878466,-3.271112347526811,4.0,1.0,0.1306613226452906,0.9630984621290615
175,1.0,0.8419434686587807,0.06508267266216372,-4.557273305703378,2.0,1.0,0.9159318637274549,0.9165444495777731
